DB00050 P22888.
DB00050 P30968.
DB00162 P10745.
DB00162 P09455.
P00352 DB00162.
Q92781 DB00162.
DB00162 P12271.
DB00162 O95237.
DB00175 P04035.
DB00176 P31645.
P30556 DB00177.
P12821 DB00178.
DB00180 P04150.
DB00181 Q9UBS5.
O75899 DB00181.
DB00182 Q05940.
Q01959 DB00182.
Q15822 DB00184.
P43681 DB00184.
DB00184 P17787.
DB00184 P36544.
DB00184 P30926.
P32297 DB00184.
P30532 DB00184.
SE0001 DB01110 P35228.
SE0028 DB01110 P35228.
P35228 DB01110 SE0034.
P35228 DB01110 SE0036.
SE0044 DB01110 P35228.
SE0045 DB01110 P35228.
P35228 DB01110 SE0046.
SE0048 DB01110 P35228.
P35228 DB01110 SE0057.
SE0064 DB01110 P35228.
SE0085 DB01110 P35228.
SE0096 DB01110 P35228.
SE0131 DB01110 P35228.
SE0142 DB01110 P35228.
P35228 DB01110 SE0163.
P35228 DB01110 SE0180.
SE0187 DB01110 P35228.
P35228 DB01110 SE0201.
P35228 DB01110 SE0205.
SE0230 DB01110 P35228.
SE0250 DB01110 P35228.
SE0322 DB01110 P35228.
P35228 DB01110 SE0439.
SE0732 DB01110 P35228.
SE0782 DB01110 P35228.
SE0785 DB01110 P35228.
P35228 DB01110 SE0805.
SE1284 DB01110 P35228.
P35228 DB01110 SE1307.
P35228 DB01110 SE1308.
SE1309 DB01110 P35228.
SE1310 DB01110 P35228.
P35228 DB01110 SE1311.
SE0001 DB01234 P35228.
SE0003 DB01234 P35228.
P35228 DB01234 SE0009.
SE0010 DB01234 P35228.
DB00050 P22888 DIS0000 DB01008.
DB00050 P22888 DIS0000 DB01009.
DB01011 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01017.
DB01024 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01026.
DB00050 P22888 DIS0000 DB01029.
DB00050 P22888 DIS0000 DB01030.
DB00050 P22888 DIS0000 DB01039.
DB01041 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01042.
DB00050 P22888 DIS0000 DB01048.
DB00050 P22888 DIS0000 DB01050.
DB00050 P22888 DIS0000 DB01064.
DB01068 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01069.
DB01072 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01075.
DB00050 P22888 DIS0000 DB01076.
DB01080 DIS0000 P22888 DB00050.
DB01083 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01085.
DB00050 P22888 DIS0000 DB01087.
DB01088 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01095.
DB00050 P22888 DIS0000 DB01097.
DB01098 DIS0000 P22888 DB00050.
DB01100 DIS0000 P22888 DB00050.
DB01101 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01104.
DB01110 DIS0000 P22888 DB00050.
DB01113 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01114.
DB00050 P22888 DIS0000 DB01115.
DB01118 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01119.
DB01120 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01128.
DB01129 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01132.
DB00050 P22888 DIS0000 DB01136.
DB00050 P22888 DIS0000 DB01142.
DB01143 DIS0000 P22888 DB00050.
DB01149 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01151.
DB01156 DIS0000 P22888 DB00050.
DB01159 DIS0000 P22888 DB00050.
DB01165 DIS0000 P22888 DB00050.
DB01169 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01173.
DB00050 P22888 DIS0000 DB01174.
DB00050 P22888 DIS0000 DB01181.
DB01183 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01184.
DB01188 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01200.
DB00050 P22888 DIS0000 DB01204.
DB01206 DIS0000 P22888 DB00050.
DB01211 DIS0000 P22888 DB00050.
DB01212 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01216.
DB01219 DIS0000 P22888 DB00050.
DB01221 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01222.
DB00050 P22888 DIS0000 DB01223.
DB00050 P22888 DIS0000 DB01224.
DB01229 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01230.
DB00050 P22888 DIS0000 DB01232.
DB01233 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01234.
DB00050 P22888 DIS0000 DB01236.
DB01242 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01247.
DB00050 P22888 DIS0000 DB01248.
DB00050 P22888 DIS0000 DB01254.
DB00050 P22888 DIS0000 DB01268.
DB00050 P22888 DIS0000 DB01275.
DB00050 P22888 DIS0000 DB01340.
DB01356 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01378.
DB00050 P22888 DIS0000 DB01393.
DB01394 DIS0000 P22888 DB00050.
DB01406 DIS0000 P22888 DB00050.
DB01558 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB01577.
DB00050 P22888 DIS0000 DB01586.
DB01595 DIS0000 P22888 DB00050.
DB01623 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB04844.
DB00050 P22888 DIS0000 DB04861.
DB04896 DIS0000 P22888 DB00050.
DB04930 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB06287.
DB06710 DIS0000 P22888 DB00050.
DB00050 P22888 DIS0000 DB08826.
DB00050 P22888 DIS0000 DB08860.
DB00050 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00152.
DB00050 P22888 DIS0001 DB00162.
DB00175 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00176.
DB00177 DIS0001 P22888 DB00050.
DB00178 DIS0001 P22888 DB00050.
DB00180 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00181.
DB00050 P22888 DIS0001 DB00182.
DB00050 P22888 DIS0001 DB00184.
DB00050 P22888 DIS0001 DB00187.
DB00050 P22888 DIS0001 DB00188.
DB00050 P22888 DIS0001 DB00193.
DB00196 DIS0001 P22888 DB00050.
DB00197 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00198.
DB00199 DIS0001 P22888 DB00050.
DB00201 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00203.
DB00050 P22888 DIS0001 DB00205.
DB00206 DIS0001 P22888 DB00050.
DB00207 DIS0001 P22888 DB00050.
DB00208 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00213.
DB00215 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00218.
DB00220 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00222.
DB00050 P22888 DIS0001 DB00224.
DB00227 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00228.
DB00235 DIS0001 P22888 DB00050.
DB00238 DIS0001 P22888 DB00050.
DB00242 DIS0001 P22888 DB00050.
DB00250 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00252.
DB00254 DIS0001 P22888 DB00050.
DB00257 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00263.
DB00264 DIS0001 P22888 DB00050.
DB00271 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00273.
DB00276 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00277.
DB00280 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00281.
DB00282 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00284.
DB00285 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00289.
DB00050 P22888 DIS0001 DB00291.
DB00050 P22888 DIS0001 DB00295.
DB00050 P22888 DIS0001 DB00296.
DB00050 P22888 DIS0001 DB00297.
DB00302 DIS0001 P22888 DB00050.
DB00307 DIS0001 P22888 DB00050.
DB00310 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00312.
DB00313 DIS0001 P22888 DB00050.
DB00316 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00317.
DB00050 P22888 DIS0001 DB00318.
DB00319 DIS0001 P22888 DB00050.
DB00320 DIS0001 P22888 DB00050.
DB00321 DIS0001 P22888 DB00050.
DB00323 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00328.
DB00050 P22888 DIS0001 DB00330.
DB00331 DIS0001 P22888 DB00050.
DB00333 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00334.
DB00335 DIS0001 P22888 DB00050.
DB00337 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00338.
DB00050 P22888 DIS0001 DB00339.
DB00050 P22888 DIS0001 DB00341.
DB00050 P22888 DIS0001 DB00343.
DB00050 P22888 DIS0001 DB00346.
DB00351 DIS0001 P22888 DB00050.
DB00356 DIS0001 P22888 DB00050.
DB00358 DIS0001 P22888 DB00050.
DB00359 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00361.
DB00050 P22888 DIS0001 DB00362.
DB00050 P22888 DIS0001 DB00363.
DB00364 DIS0001 P22888 DB00050.
DB00367 DIS0001 P22888 DB00050.
DB00368 DIS0001 P22888 DB00050.
DB00369 DIS0001 P22888 DB00050.
DB00370 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00376.
DB00050 P22888 DIS0001 DB00379.
DB00050 P22888 DIS0001 DB00381.
DB00382 DIS0001 P22888 DB00050.
DB00388 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00390.
DB00050 P22888 DIS0001 DB00393.
DB00050 P22888 DIS0001 DB00396.
DB00050 P22888 DIS0001 DB00398.
DB00050 P22888 DIS0001 DB00400.
DB00401 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00404.
DB00050 P22888 DIS0001 DB00411.
DB00050 P22888 DIS0001 DB00412.
DB00050 P22888 DIS0001 DB00415.
DB00421 DIS0001 P22888 DB00050.
DB00422 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00425.
DB00431 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00434.
DB00050 P22888 DIS0001 DB00437.
DB00439 DIS0001 P22888 DB00050.
DB00440 DIS0001 P22888 DB00050.
DB00441 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00442.
DB00050 P22888 DIS0001 DB00446.
DB00448 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00455.
DB00457 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00458.
DB00459 DIS0001 P22888 DB00050.
DB00460 DIS0001 P22888 DB00050.
DB00461 DIS0001 P22888 DB00050.
DB00465 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00471.
DB00050 P22888 DIS0001 DB00472.
DB00475 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00477.
DB00479 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00480.
DB00050 P22888 DIS0001 DB00481.
DB00482 DIS0001 P22888 DB00050.
DB00485 DIS0001 P22888 DB00050.
DB00489 DIS0001 P22888 DB00050.
DB00490 DIS0001 P22888 DB00050.
DB00491 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00493.
DB00050 P22888 DIS0001 DB00494.
DB00495 DIS0001 P22888 DB00050.
DB00496 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00499.
DB00050 P22888 DIS0001 DB00500.
DB00501 DIS0001 P22888 DB00050.
DB00502 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00503.
DB00507 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00515.
DB00050 P22888 DIS0001 DB00518.
DB00526 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00529.
DB00530 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00531.
DB00050 P22888 DIS0001 DB00532.
DB00050 P22888 DIS0001 DB00533.
DB00535 DIS0001 P22888 DB00050.
DB00537 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00539.
DB00050 P22888 DIS0001 DB00540.
DB00050 P22888 DIS0001 DB00541.
DB00542 DIS0001 P22888 DB00050.
DB00543 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00549.
DB00050 P22888 DIS0001 DB00550.
DB00554 DIS0001 P22888 DB00050.
DB00555 DIS0001 P22888 DB00050.
DB00557 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00559.
DB00560 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00563.
DB00050 P22888 DIS0001 DB00564.
DB00050 P22888 DIS0001 DB00567.
DB00050 P22888 DIS0001 DB00571.
DB00572 DIS0001 P22888 DB00050.
DB00573 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00575.
DB00050 P22888 DIS0001 DB00578.
DB00050 P22888 DIS0001 DB00580.
DB00050 P22888 DIS0001 DB00581.
DB00050 P22888 DIS0001 DB00582.
DB00050 P22888 DIS0001 DB00585.
DB00050 P22888 DIS0001 DB00586.
DB00050 P22888 DIS0001 DB00590.
DB00591 DIS0001 P22888 DB00050.
DB00593 DIS0001 P22888 DB00050.
DB00594 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00595.
DB00598 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00602.
DB00603 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00605.
DB00608 DIS0001 P22888 DB00050.
DB00609 DIS0001 P22888 DB00050.
DB00612 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00618.
DB00619 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00620.
DB00050 P22888 DIS0001 DB00622.
DB00623 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00624.
DB00050 P22888 DIS0001 DB00625.
DB00630 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00635.
DB00640 DIS0001 P22888 DB00050.
DB00641 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00646.
DB00050 P22888 DIS0001 DB00648.
DB00050 P22888 DIS0001 DB00649.
DB00050 P22888 DIS0001 DB00650.
DB00656 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00657.
DB00050 P22888 DIS0001 DB00661.
DB00668 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00669.
DB00050 P22888 DIS0001 DB00675.
DB00678 DIS0001 P22888 DB00050.
DB00679 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00681.
DB00050 P22888 DIS0001 DB00682.
DB00683 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00685.
DB00687 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00690.
DB00692 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00693.
DB00694 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00695.
DB00050 P22888 DIS0001 DB00698.
DB00050 P22888 DIS0001 DB00700.
DB00050 P22888 DIS0001 DB00701.
DB00050 P22888 DIS0001 DB00703.
DB00704 DIS0001 P22888 DB00050.
DB00050 P22888 DIS0001 DB00705.
