Rank	Score	Type	ID	Name	Description
238	71.85	cp	BRD-K15409150	penfluridol	T-type calcium channel blocker
251	70.19	cp	BRD-K35629949	SR-27897	CCK receptor antagonist
255	69.96	cp	BRD-K99498722	NPI-2358	Tubulin inhibitor
256	69.96	cp	BRD-K48427617	U-0124	MEK inhibitor
259	69.8	cp	BRD-A93206962	L-755507	Adrenergic receptor agonist
262	69.48	cp	BRD-A06352418	terfenadine	Histamine receptor antagonist
265	69.03	cp	BRD-K74236984	UNC-0321	Histone lysine methyltransferase inhibitor
266	69.02	cp	BRD-A42423104	benproperine	Antitussive
280	68.07	cp	BRD-A68930007	ouabain	ATPase inhibitor
284	67.85	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
304	66.07	cp	BRD-K06426971	ryuvidine	Histone lysine methyltransferase inhibitor
308	65.9	cp	BRD-K25079130	avrainvillamide-analog-4	nucleophosmin inhibitor
313	65.11	cp	BRD-A97437073	rosiglitazone	Insulin sensitizer
315	65.06	cp	BRD-K73991644	isoquercetin	Aldose reductase inhibitor
316	65.05	cp	BRD-K28168037	fenretinide	Apoptosis stimulant
321	64.9	cp	BRD-K04210847	tamoxifen	Estrogen receptor antagonist
326	64.52	cp	BRD-K10573841	tunicamycin	GLCNAC phosphotransferase inhibitor
333	63.9	cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor
335	63.73	cp	BRD-A13133631	fluorometholone	Glucocorticoid receptor agonist
336	63.7	cp	BRD-K55991774	BAS-09104376	HIV integrase inhibitor
355	61.42	cp	BRD-K74305673	IKK-2-inhibitor-V	IKK inhibitor
359	60.86	cp	BRD-K51476772	ST-638	Tyrosine kinase inhibitor
360	60.8	cp	BRD-K66093087	FGIN-1-43	Benzodiazepine receptor agonist
363	60.53	cp	BRD-K61829047	7b-cis	Exportin antagonist
364	60.49	cp	BRD-K59753975	vindesine	Tubulin inhibitor
376	58.86	cp	BRD-A54029483	IRL-2500	Endothelin receptor antagonist
378	58.82	cp	BRD-K95921201	reserpine	Vesicular monoamine transporter inhibitor
383	58.54	cp	BRD-K17140735	SCH-79797	Proteasome inhibitor
386	58.23	cp	BRD-K85383046	IAA-94	Chloride channel blocker
391	57.76	cp	BRD-K01555864	dibenzoylmethane	Antineoplastic
393	57.55	cp	BRD-K41564320	purvalanol-b	Tyrosine kinase inhibitor
417	55.64	cp	BRD-A85860691	chaetocin	Histone lysine methyltransferase inhibitor
420	55.56	cp	BRD-K56700933	phenethyl-isothiocyanate	Antineoplastic
424	55.42	cp	BRD-K41895714	AS-605240	PI3K inhibitor
425	55.42	cp	BRD-K19416115	sitagliptin	Dipeptidyl peptidase inhibitor
427	55.27	cp	BRD-K62289640	lylamine	Cannabinoid receptor agonist
429	55.21	cp	BRD-A07875874	cilnidipine	Calcium channel blocker
432	55.07	cp	BRD-K99616396	motesanib	KIT inhibitor
433	54.99	cp	BRD-A92439610	triamcinolone	Glucocorticoid receptor agonist
441	54.78	cp	BRD-K65786282	CGP-7930	GABA receptor modulator
449	54.23	cp	BRD-K49294207	BIBU-1361	EGFR inhibitor
452	54.03	cp	BRD-K00317371	RITA	MDM inhibitor
454	53.75	cp	BRD-K05464208	JX-401	p38 MAPK inhibitor
462	53.49	cp	BRD-K55424922	anpirtoline	Serotonin receptor agonist
463	53.47	cp	BRD-K10670311	sulfasalazine	Antirheumatic
466	53.27	cp	BRD-K20755323	SA-792728	Sphingosine kinase inhibitor
470	52.89	cp	BRD-K33818169	GW-3965	LXR agonist
472	52.79	cp	BRD-K98548675	parthenolide	NFkB pathway inhibitor
473	52.69	cp	BRD-K70401845	erlotinib	EGFR inhibitor
475	52.57	cp	BRD-K87696786	LY-456236	Glutamate receptor antagonist
476	52.52	cp	BRD-K43330982	JTE-013	Lysophospholipid receptor antagonist
480	52.34	cp	BRD-K15592317	CP466722	ATM kinase inhibitor
483	52.07	cp	BRD-K64881305	ispinesib	Kinesin-like spindle protein inhibitor
491	51.7	cp	BRD-K94919853	10H-phenothiazin-10-yl)(p-tolyl)methanone	Butyrylcholinesterase inhibitor
498	51.14	cp	BRD-K77998258	ganglioside	SRC activator
503	50.87	cp	BRD-K88625236	nonoxynol-9	Membrane integrity inhibitor
504	50.79	cp	BRD-A12016240	LY-278584	Serotonin receptor antagonist
512	50.08	cp	BRD-K70881766	solanine	Acetylcholinesterase inhibitor
519	49.82	cp	BRD-K59851896	calycanthine	GABA release inhibitor
521	49.6	cp	BRD-A80638690	floxuridine	DNA synthesis inhibitor
523	49.47	cp	BRD-K95992530	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist
525	49.41	cp	BRD-K08502430	angiogenesis-inhibitor	Angiogenesis inhibitor
527	49.28	cp	BRD-K37194137	III606050	Cytochrome P450 inhibitor
534	48.58	cp	BRD-A72711497	lasalocid	Bacterial permeability inducer
535	48.4	cp	BRD-K41903098	diphenoxylate	Opioid receptor agonist
540	48.12	cp	BRD-K01292756	pimozide	Dopamine receptor antagonist
543	47.44	cp	BRD-K19605405	ZM-241385	Adenosine receptor antagonist
545	47.39	cp	BRD-A29260609	acebutolol	Adrenergic receptor antagonist
546	47.35	cp	BRD-K13049116	BMS-754807	IGF-1 inhibitor
549	47.03	cp	BRD-K65910366	KUC103904N	-666
553	46.79	cp	BRD-K48168960	propylthiouracil	Thyroid peroxidase inhibitor
555	46.55	cp	BRD-A52282606	lacidipine	Calcium channel blocker
557	46.48	cp	BRD-K64935403	ebelactone-b	Lipase inhibitor
560	46.3	cp	BRD-K64517075	heliomycin	ATP synthase inhibitor
563	46.03	cp	BRD-K82941592	rosuvastatin	HMGCR inhibitor
564	45.97	cp	BRD-A67438293	treprostinil	Prostacyclin analog
571	45.53	cp	BRD-A35989968	megestrol	Progesterone receptor agonist
572	45.45	cp	BRD-K62221994	T-98475	Gonadotropin releasing factor hormone receptor antagonist
574	45.29	cp	BRD-K31912990	CGP-71683	Neuropeptide receptor antagonist
577	45.23	cp	BRD-K16406336	methylene-blue	Guanylyl cyclase inhibitor
581	45.13	cp	BRD-A94543220	bifonazole	Sterol demethylase inhibitor
583	45.06	cp	BRD-K92428153	mycophenolate-mofetil	Dehydrogenase inhibitor
584	45.03	cp	BRD-K14618467	IKK-16	IKK inhibitor
585	45.03	cp	BRD-K55344148	BU-224	Imidazoline receptor ligand
586	44.96	cp	BRD-K76907295	VU-0418947-2	HIF modulator
589	44.83	cp	BRD-K28120222	parthenolide	NFkB pathway inhibitor
591	44.78	cp	BRD-A28105619	cucurbitacin-i	JAK inhibitor
594	44.57	cp	BRD-K52397688	amperozide	Dopamine receptor antagonist
604	44.02	cp	BRD-A72596465	GW-6471	PPAR receptor antagonist
605	43.98	cp	BRD-K68402494	ML-9	Myosin light chain kinase inhibitor
613	43.49	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
621	43.06	cp	BRD-A82656074	naltrindole	Opioid receptor antagonist
622	43.04	cp	BRD-K39569857	avrainvillamide-analog-3	nucleophosmin inhibitor
623	43.01	cp	BRD-A25004090	erastin	Ion channel antagonist
626	42.98	cp	BRD-K82846253	repaglinide	Insulin secretagogue
628	42.9	cp	BRD-K34508425	KUC103898N	-666
639	42.42	cp	BRD-K11742128	triprolidine	Histamine receptor antagonist
643	42.17	cp	BRD-K20313525	rosmarinic-acid	GABA transaminase inhibitor
644	42.14	cp	BRD-K53545112	CNQX	Glutamate receptor antagonist
657	41.63	cp	BRD-K26521938	dinoprostone	Prostanoid receptor agonist
659	41.19	cp	BRD-K70330367	amantadine	Glutamate receptor antagonist
666	40.53	cp	BRD-K86003836	flubendazole	Tubulin inhibitor
673	40.19	cp	BRD-A89672324	CGP-55845	GABA receptor antagonist
676	39.93	cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist
679	39.72	cp	BRD-U82589721	HG-5-113-01	Protein kinase inhibitor
692	38.87	cp	BRD-K37516142	idebenone	Calcium channel modulator
694	38.79	cp	BRD-A56020723	CA-074-Me	Cathepsin inhibitor
695	38.79	cp	BRD-A44090213	indoprofen	Cyclooxygenase inhibitor
699	38.66	cp	BRD-A64228451	terreic-acid	BTK inhibitor
705	38.31	cp	BRD-K86930074	cediranib	KIT inhibitor
707	38.17	cp	BRD-K51730347	diphencyprone	Immunostimulant
713	38.05	cp	BRD-K84141129	VU-0400193-3	Glutamate receptor modulator
714	37.9	cp	BRD-A87719232	naproxen	Cyclooxygenase inhibitor
717	37.79	cp	BRD-K33483813	actarit	Interleukin receptor agonist
725	37.19	cp	BRD-A88282067	delcorine	Antiarrhythmic
727	36.95	cp	BRD-K02265150	amoxapine	Norepinephrine reuptake inhibitor
728	36.85	cp	BRD-K40758068	efavirenz	HIV protease inhibitor
730	36.77	cp	BRD-K90789829	nefazodone	Adrenergic inhibitor
732	36.41	cp	BRD-A71765365	mepireserpate	Catecholamine depleting sympatholytic
737	36.26	cp	BRD-K89997465	chlorpromazine	Dopamine receptor antagonist
744	36.06	cp	BRD-U37049823	HG-6-64-01	RAF inhibitor
745	36.05	cp	BRD-K18250272	propoxycaine	Local anesthetic
749	35.81	cp	BRD-K09668667	benzo(a)pyrene	Carcinogen
751	35.76	cp	BRD-K02953697	naringin	Cytochrome P450 inhibitor
756	35.42	cp	BRD-K97309399	thiothixene	Dopamine receptor antagonist
765	34.74	cp	BRD-K34170797	fexaramine	FXR agonist
766	34.68	cp	BRD-A17065207	brefeldin-a	Protein synthesis inhibitor
768	34.46	cp	BRD-K05658747	raltegravir	HIV integrase inhibitor
769	34.45	cp	BRD-K73395020	SA-1478088	-666
774	34.27	cp	BRD-K95851186	CGP-13501	GABA receptor modulator
778	34.14	cp	BRD-K46212057	voriconazole	Cytochrome P450 inhibitor
782	33.98	cp	BRD-K32412559	morphothebaine	Adrenergic receptor antagonist
787	33.92	cp	BRD-K72264770	QW-BI-011	Histone lysine methyltransferase inhibitor
797	33.37	cp	BRD-K24675965	LY-288513	CCK receptor antagonist
799	33.25	cp	BRD-K31699485	DMEOB	glutamate receptor modulator
800	33.11	cp	BRD-K80431395	triciribine	AKT inhibitor
803	32.85	cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor
804	32.84	cp	BRD-K89348303	ramipril	ACE inhibitor
807	32.78	cp	BRD-A15493168	tetracycline	Bacterial 30S ribosomal subunit inhibitor
812	32.69	cp	BRD-A73368467	fexofenadine	Histamine receptor antagonist
816	32.63	cp	BRD-A17819071	gedunin	HSP inhibitor
819	32.53	cp	BRD-K67831364	ZM-323881	VEGFR inhibitor
825	32.28	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
829	32.13	cp	BRD-K72703948	ZM-447439	Aurora kinase inhibitor
846	31.54	cp	BRD-K55301415	abiraterone	17,20 lyase inhibitor
847	31.52	cp	BRD-A35033682	eriodictyol	Cytochrome P450 inhibitor
848	31.5	cp	BRD-K47943470	tyrphostin-51	EGFR inhibitor
849	31.33	cp	BRD-K67017579	cilostazol	Phosphodiesterase inhibitor
851	31.28	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
852	31.26	cp	BRD-K52620403	STO-609	Calmodulin antagonist
855	31.09	cp	BRD-K33572481	taurodeoxycholic-acid	Bile acid
856	31.09	cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist
859	31.01	cp	BRD-K72024482	MRS-1754	Adenosine receptor antagonist
862	30.71	cp	BRD-K47659338	EMD-386088	Serotonin receptor agonist
866	30.56	cp	BRD-A94413429	NTNCB	Neuropeptide receptor antagonist
868	30.52	cp	BRD-K31611373	fluprostenol	Prostanoid receptor agonist
869	30.52	cp	BRD-A42628519	iopanoic-acid	Radiopaque medium
870	30.51	cp	BRD-K56614220	clofazimine	GK0582 inhibitor
873	30.45	cp	BRD-K17378184	prestwick-559	Dopamine receptor agonist
877	30.03	cp	BRD-K26573499	DMAB-anabaseine	Adrenergic receptor agonist
878	29.92	cp	BRD-A70407468	PSB-36	Adenosine receptor antagonist
879	29.85	cp	BRD-A80775386	hyperforin	Cyclooxygenase inhibitor
883	29.7	cp	BRD-A29437505	RWJ-21757	TLR agonist
886	29.51	cp	BRD-A79465854	auranofin	NFkB pathway inhibitor
893	29.09	cp	BRD-K36153907	KU-C103885	Cystic fibrosis transmembrane conductance regulator inhibitor
894	29.09	cp	BRD-K79092138	nitrofural	Bacterial DNA inhibitor
896	29.05	cp	BRD-K03406345	azacitidine	DNA methyltransferase inhibitor
898	28.92	cp	BRD-K29178788	dictamnine	Furoquinoline alkaloid
901	28.77	cp	BRD-A38898897	GW-311616	Leukocyte elastase inhibitor
902	28.75	cp	BRD-K37691127	hinokitiol	Tyrosinase inhibitor
905	28.64	cp	BRD-A65280694	molindone	Dopamine receptor antagonist
906	28.52	cp	BRD-K09549677	mibefradil	T-type calcium channel blocker
907	28.51	cp	BRD-U88459701	atorvastatin	HMGCR inhibitor
911	28.28	cp	BRD-K83010055	VU-0415374-1	Glutamate receptor modulator
912	28.26	cp	BRD-K08554278	bisbenzimide	DNA binding agent
913	28.23	cp	BRD-K15791587	L-733060	Tachykinin antagonist
920	28.1	cp	BRD-K28428262	brivanib	FGFR inhibitor
931	27.87	cp	BRD-K93176058	AC-55649	Retinoid receptor agonist
936	27.74	cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker
942	27.44	cp	BRD-K43164539	cholic-acid	Bile acid
943	27.41	cp	BRD-K06750613	GSK-1059615	PI3K inhibitor
944	27.4	cp	BRD-K26241953	piceatannol	SYK inhibitor
947	27.38	cp	BRD-K68336408	tyrphostin-AG-1478	EGFR inhibitor
950	27.23	cp	BRD-A10420615	cyclopiazonic-acid	ATPase inhibitor
957	26.91	cp	BRD-K15933101	ropinirole	Dopamine receptor agonist
959	26.8	cp	BRD-K08219523	5-nonyloxytryptamine	Serotonin receptor agonist
960	26.77	cp	BRD-K15262564	mupirocin	Isoleucyl-tRNA synthetase inhibitor
965	26.54	cp	BRD-A72703248	SKF-96365	Calcium channel blocker
975	26.37	cp	BRD-K05926469	lenalidomide	Antineoplastic
977	26.37	cp	BRD-K26818574	BIX-01294	Histone lysine methyltransferase inhibitor
983	26.04	cp	BRD-K55191674	benzylpenicillin	Penicillin binding protein inhibitor
984	26.03	cp	BRD-K84266862	BRL-50481	Phosphodiesterase inhibitor
986	26.01	cp	BRD-K06980535	promazine	Dopamine receptor antagonist
988	25.9	cp	BRD-A42346008	metanephrine	Epinephrine metabolite
994	25.66	cp	BRD-K76840893	RS-17053	Adrenergic receptor antagonist
996	25.6	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
999	25.46	cp	BRD-A41995253	brucine	Glycine receptor antagonist
1004	25.24	cp	BRD-K47328134	lysylphenylalanyl-tyrosine	Heparin activation inhibitor
1007	25.17	cp	BRD-K67298865	SB-431542	TGF beta receptor inhibitor
1011	25	cp	BRD-K65285700	BRD-K65285700	Cannabinoid receptor agonist
1015	24.94	cp	BRD-K13800121	parecoxib	Cyclooxygenase inhibitor
1023	24.82	cp	BRD-K82746043	navitoclax	BCL inhibitor
1025	24.8	cp	BRD-K06080977	eicosatetraynoic-acid	Cyclooxygenase inhibitor
1026	24.76	cp	BRD-K12932420	YM-976	Phosphodiesterase inhibitor
1032	24.5	cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
1036	24.42	cp	BRD-A36707673	hydroxycholesterol	LXR agonist
1043	24.29	cp	BRD-K81225797	SCH-58261	Adenosine receptor antagonist
1045	24.23	cp	BRD-K40782193	QX-222	Sodium channel blocker
1047	24.2	cp	BRD-K24681473	YM-155	Survivin inhibitor
1053	23.98	cp	BRD-K60923938	veratridine	Sodium channel activator
1058	23.71	cp	BRD-K64052750	gefitinib	EGFR inhibitor
1062	23.58	cp	BRD-K51302260	KU-C103871	GSP agonist
1065	23.4	cp	BRD-K47717570	NBQX	Glutamate receptor antagonist
1068	23.23	cp	BRD-K76810206	nicergoline	Adrenergic receptor antagonist
1070	23.2	cp	BRD-A07000685	hydrocortisone	Glucocorticoid receptor agonist
1072	23.01	cp	BRD-A81772229	simvastatin	HMGCR inhibitor
1073	23.01	cp	BRD-K44432556	VU-0418946-1	HIF modulator
1076	22.92	cp	BRD-A77118605	BML-ST330	Phospholipase inhibitor
1080	22.68	cp	BRD-A83695761	chromanol	Potassium channel blocker
1083	22.58	cp	BRD-K70490179	rimcazole	Sigma receptor antagonist
1084	22.56	cp	BRD-K72029282	probucol	Atherogenesis inhibitor
1086	22.49	cp	BRD-K06753942	nobiletin	MEK inhibitor
1088	22.43	cp	BRD-K72420232	WZ-4002	EGFR inhibitor
1089	22.39	cp	BRD-A90515964	guaifenesin	Expectorant
1095	22.23	cp	BRD-K04833372	GSK-1904529A	IGF-1 inhibitor
1096	22.22	cp	BRD-A54845972	dihydroergotamine	Serotonin receptor agonist
1098	22.19	cp	BRD-K31238592	devazepide	CCK receptor antagonist
1103	22.12	cp	BRD-K14441456	tyrphostin-AG-556	EGFR inhibitor
1104	22.11	cp	BRD-A67862938	naftidrofuryl	Adrenergic receptor antagonist
1106	22.07	cp	BRD-K42679050	Y-27152	Potassium channel activator
1108	21.95	cp	BRD-A02759312	betaxolol	Adrenergic receptor antagonist
1113	21.87	cp	BRD-A83326220	brazilin	Nitric oxide production inhibitor
1118	21.7	cp	BRD-K17743697	KB-R7943	Sodium/calcium exchange inhibitor
1121	21.68	cp	BRD-K34608650	BRD-K34608650	Cannabinoid receptor agonist
1124	21.67	cp	BRD-K16336526	capsaicin	TRPV agonist
1125	21.66	cp	BRD-K96471533	nitazoxanide	Pyruvate ferredoxin oxidoreductase inhibitor
1127	21.61	cp	BRD-A68039575	liquiritigenin	Aromatase inhibitor
1132	21.43	cp	BRD-A55594068	vinblastine	Microtubule inhibitor
1135	21.38	cp	BRD-A61858259	CAY-10415	Insulin sensitizer
1136	21.38	cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist
1138	21.28	cp	BRD-K51816706	oxindole-I	VEGFR inhibitor
1143	21.17	cp	BRD-A24381660	zeranol	Estrogen receptor agonist
1145	21.11	cp	BRD-K46317332	proadifen	Nitric oxide synthase inhibitor
1147	21.04	cp	BRD-K45252063	clofibrate	PPAR receptor agonist
1149	20.98	cp	BRD-K42142750	retrorsine	Antimitotic
1150	20.97	cp	BRD-K62858456	lomerizine	Calcium channel blocker
1169	20.35	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
1170	20.35	cp	BRD-A04668240	CGP-52432	GABA receptor antagonist
1173	20.22	cp	BRD-K91623615	ABT-751	Tubulin inhibitor
1174	20.21	cp	BRD-K71430621	clobenpropit	Histamine receptor antagonist
1176	20.2	cp	BRD-K26997899	SA-792574	Microtubule inhibitor
1177	20.19	cp	BRD-K63150726	JTE-907	Cannabinoid receptor inverse agonist
1178	20.19	cp	BRD-K06712146	YM-90709	IL5 inhibitor
1198	19.72	cp	BRD-K60219430	serdemetan	MDM inhibitor
1200	19.64	cp	BRD-A65440446	cimaterol	Adrenergic receptor agonist
1202	19.62	cp	BRD-K96740444	itopride	Dopamine receptor antagonist
1203	19.59	cp	BRD-K16485616	mocetinostat	HDAC inhibitor
1206	19.52	cp	BRD-K35687265	ON-01910	PLK inhibitor
1207	19.5	cp	BRD-K01624546	docosatrienoic-acid	LTB4 inhibitor
1208	19.47	cp	BRD-K82135108	elesclomol	Oxidative stress inducer
1210	19.42	cp	BRD-K71823332	epothilone-a	Microtubule stabilizing agent
1212	19.4	cp	BRD-K13390322	AT-7519	CDK inhibitor
1213	19.4	cp	BRD-A20968261	WAY-213613	Glutamate inhibitor
1220	19.3	cp	BRD-K17561142	amiodarone	Potassium channel blocker
1223	19.16	cp	BRD-K53523901	arctigenin	MEK inhibitor
1225	19.13	cp	BRD-K92731339	perindopril	ACE inhibitor
1226	19.09	cp	BRD-K87048468	RS-102221	Serotonin receptor antagonist
1227	19.09	cp	BRD-K34092021	arvanil	TRPV agonist
1229	18.99	cp	BRD-K28360340	TW-37	BCL inhibitor
1230	18.96	cp	BRD-A65671304	candesartan	Angiotensin receptor antagonist
1235	18.81	cp	BRD-K44779798	miglitol	Glucosidase inhibitor
1238	18.7	cp	BRD-K68190965	GR-46611	Serotonin receptor agonist
1240	18.69	cp	BRD-K80396088	gliquidone	Sulfonylurea
1246	18.6	cp	BRD-A01320529	salmeterol	Adrenergic receptor agonist
1250	18.52	cp	BRD-K14693417	cinchonine	P-glycoprotein inhibitor
1256	18.34	cp	BRD-K63630713	etacrynic-acid	Sodium/potassium/chloride transporter inhibitor
1258	18.22	cp	BRD-A32949107	MRS-1845	Calcium channel blocker
1260	18.2	cp	BRD-K05396879	15-delta-prostaglandin-j2	PPAR receptor agonist
1263	18.17	cp	BRD-K14993104	bemegride	Chemoreceptor agonist
1264	18.14	cp	BRD-K36377456	marmesin	Angiogenesis inhibitor
1267	18.03	cp	BRD-K31054881	BMY-7378	Adrenergic receptor antagonist
1268	18.03	cp	BRD-K35559145	levomepromazine	Dopamine receptor antagonist
1276	17.86	cp	BRD-A91866971	SQ-29548	Thromboxane receptor antagonist
1277	17.82	cp	BRD-K78637815	LY-320135	Cannabinoid receptor antagonist
1279	17.81	cp	BRD-K59058766	chlorprothixene	Dopamine receptor antagonist
1280	17.79	cp	BRD-K39520573	GW-5074	Leucine rich repeat kinase inhibitor
1284	17.78	cp	BRD-K32610195	androstenedione	Cytochrome P450 inhibitor
1288	17.58	cp	BRD-K52721684	PCO-400	Potassium channel activator
1289	17.57	cp	BRD-A04352665	maraviroc	CC chemokine receptor antagonist
1295	17.43	cp	BRD-K17008822	BD-1008	Sigma receptor antagonist
1300	17.34	cp	BRD-K24526313	levcromakalim	Potassium channel activator
1302	17.27	cp	BRD-K17497770	butein	EGFR inhibitor
1303	17.26	cp	BRD-K50168500	canertinib	EGFR inhibitor
1307	17.12	cp	BRD-K40227168	vinburnine	Adrenergic receptor antagonist
1309	17.09	cp	BRD-K68392338	ZK-93426	Benzodiazepine receptor antagonist
1313	16.99	cp	BRD-K33308633	INCA-6	Calcineurin inhibitor
1314	16.96	cp	BRD-K98769987	flumazenil	Benzodiazepine receptor antagonist
1321	16.81	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
1325	16.7	cp	BRD-A98702003	carbenoxolone	11-beta-HSD1 inhibitor
1328	16.62	cp	BRD-K41445866	alfaxalone	Chloride channel agonist
1329	16.61	cp	BRD-K16554956	PTB1	AMPK activator
1331	16.49	cp	BRD-K68174511	torin-2	MTOR inhibitor
1338	16.35	cp	BRD-K38305202	domperidone	Dopamine receptor antagonist
1340	16.33	cp	BRD-K59469039	AG-879	Angiogenesis inhibitor
1342	16.29	cp	BRD-K02867583	minaprine	Serotonin reuptake inhibitor
1344	16.24	cp	BRD-K95901403	XL-147	PI3K inhibitor
1345	16.24	cp	BRD-K79353516	indolophenanthridine	CALY activator
1349	16.11	cp	BRD-K03816923	rottlerin	MAP kinase inhibitor
1352	16.03	cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor
1354	15.91	cp	BRD-K85503079	perospirone	Dopamine receptor antagonist
1355	15.9	cp	BRD-A33711280	metixene	Acetylcholine receptor antagonist
1357	15.87	cp	BRD-A28856712	tetryzoline	Adrenergic receptor agonist
1359	15.87	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
1360	15.82	cp	BRD-K51066026	aminoindazole	Ionophore
1365	15.64	cp	BRD-K06024458	n-arachidonyl-GABA	cannabinoid receptor agonist
1368	15.56	cp	BRD-K83636919	entacapone	Catechol O methyltransferase inhibitor
1371	15.5	cp	BRD-K19295594	gossypol	BCL inhibitor
1372	15.49	cp	BRD-K49657628	tyrphostin-AG-18	EGFR inhibitor
1379	15.19	cp	BRD-K85242180	beta-CCP	Indoleamine 2,3-dioxygenase inhibitor
1383	15.13	cp	BRD-K52512893	SC-19220	Prostanoid receptor antagonist
1385	15.04	cp	BRD-K79425933	benperidol	Dopamine receptor antagonist
1386	15.04	cp	BRD-A48430263	pioglitazone	Insulin sensitizer
1389	15	cp	BRD-K11905747	spectinomycin	Bacterial 30S ribosomal subunit inhibitor
1391	14.97	cp	BRD-K18194590	mephentermine	Adrenergic receptor agonist
1394	14.92	cp	BRD-K98493452	honokiol	AKT inhibitor
1396	14.9	cp	BRD-K02404261	caffeine	Adenosine receptor antagonist
1400	14.76	cp	BRD-K20986251	lithocholic-acid	FXR antagonist
1402	14.73	cp	BRD-K03557653	sappanone-a	Tyrosinase inhibitor
1403	14.73	cp	BRD-A55416093	colforsin	Adenylyl cyclase activator
1406	14.58	cp	BRD-K68558722	deracoxib	Cyclooxygenase inhibitor
1408	14.52	cp	BRD-A42831637	tetrahydrocannabinol-7-oic-acid	Anti-inflammatory
